-0.5, 0.36, 0.437
-0.45, 0.3698059475502673, 0.437
-0.4, 0.37939554972190925, 0.437
-0.35, 0.388772447244032, 0.437
-0.3, 0.397938944118545, 0.437
-0.25, 0.40689615924993405, 0.437
-0.2, 0.4156441686273922, 0.437
-0.15, 0.42418213863086635, 0.437
-0.1, 0.4325084509982992, 0.437
-0.05, 0.44062081994442, 0.437
0.0, 0.4485164017818859, 0.437
0.05, 0.45619189744626204, 0.437
0.1, 0.4636436482425422, 0.437
0.15, 0.47086772501987856, 0.437
0.2, 0.47786001109205245, 0.437
0.25, 0.48461627902960186, 0.437
0.3, 0.49113226167372204, 0.437
0.35, 0.49740371728461746, 0.437
0.4, 0.5034264892448184, 0.437
0.45, 0.5091965603740047, 0.437
0.5, 0.5147101019397401, 0.437
