-0.5, 0.964
-0.45, 0.9872189983103019
-0.4, 1.0113916519336617
-0.35, 1.0365406562772752
-0.3, 1.0626896659645866
-0.25, 1.089863315216547
-0.2, 1.1180872386922063
-0.15, 1.1473880929988154
-0.1, 1.177793578387794
-0.05, 1.2093324611584044
0.0, 1.2420345963515984
0.05, 1.2759309511255361
0.1, 1.3110536282233325
0.15, 1.3474358900867027
0.2, 1.3851121832077906
0.25, 1.4241181628296904
0.3, 1.464490717642905
0.35, 1.5062679954022113
0.4, 1.5494894275364333
0.45, 1.594195754653194
0.5, 1.6404290514871436
