,RMSRE mean,RMSRE median,RMSRE min
"Searching in [0.0, 1.0]",,,
biohydrogenation,inf,inf,inf
crauste,inf,inf,inf
daisy-mamil3,inf,inf,inf
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,N/A,N/A,N/A
harmonic,inf,0.00033829499323410043,0.0
hiv,inf,inf,inf
lotka-volterra,inf,inf,inf
seir,inf,inf,inf
vanderpol,inf,0.00032637075718015693,0.0
,,,
"Searching in [0.0, 2.0]",,,
biohydrogenation,inf,inf,inf
crauste,inf,inf,inf
daisy-mamil3,inf,inf,inf
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,N/A,N/A,N/A
harmonic,inf,0.00033829499323410043,0.0
hiv,inf,inf,inf
lotka-volterra,inf,inf,inf
seir,inf,inf,inf
vanderpol,inf,0.00032637075718015693,0.0
,,,
"Searching in [0.0, 3.0]",,,
biohydrogenation,inf,inf,inf
crauste,inf,inf,inf
daisy-mamil3,inf,inf,inf
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,N/A,N/A,N/A
harmonic,inf,0.00033829499323410043,0.0
hiv,inf,inf,inf
lotka-volterra,inf,inf,inf
seir,inf,inf,inf
vanderpol,inf,0.00032637075718015693,0.0
,,,
