,RMSRE mean,RMSRE median,RMSRE min
"Searching in [0.0, 1.0]"
biohydrogenation,inf,inf,inf
crauste,inf,inf,inf
daisy-mamil3,inf,inf,inf
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,N/A,N/A,N/A
harmonic,0.013658775715855482,0.0018959575743289307,0.000775193798449613
hiv,inf,inf,inf
lotka-volterra,inf,inf,inf
seir,inf,inf,inf
vanderpol,0.018529671374128562,0.004314163534403669,0.0
,,,
"Searching in [0.0, 2.0]"
biohydrogenation,inf,inf,inf
crauste,inf,inf,inf
daisy-mamil3,inf,inf,inf
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,N/A,N/A,N/A
harmonic,0.013658775715855482,0.0018959575743289307,0.000775193798449613
hiv,inf,inf,inf
lotka-volterra,inf,inf,inf
seir,inf,inf,inf
vanderpol,0.018529671374128562,0.004314163534403669,0.0
,,,
"Searching in [0.0, 3.0]"
biohydrogenation,inf,inf,inf
crauste,inf,inf,inf
daisy-mamil3,inf,inf,inf
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,N/A,N/A,N/A
harmonic,0.013658775715855482,0.0018959575743289307,0.000775193798449613
hiv,inf,inf,inf
lotka-volterra,inf,inf,inf
seir,inf,inf,inf
vanderpol,0.018529671374128562,0.004314163534403669,0.0
,,,
