,RMSRE mean,RMSRE median,RMSRE min
"Searching in [0.0, 1.0]",,,
biohydrogenation,0.7930629963336544,0.7930629963336544,0.7355594614045654
crauste,1.168089390252193,1.168089390252193,0.8242477613924944
daisy_mamil3,1.1014297339211634,1.1014297339211634,0.6533989188789884
daisy_mamil4,0.7149364441735706,0.7149364441735706,0.6642891073357375
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,0.34099661817955407,0.34099661817955407,0.056099717438624006
hiv,1.5157812022478063,1.5157812022478063,0.803758718152101
lotka_volterra,0.7251026961313427,0.7251026961313427,0.6483118832324151
seir,0.9895595804145654,0.9895595804145654,0.9343564662480222
vanderpol,0.44902809320318054,0.44902809320318054,6.807470773986683e-06
,,,
"Searching in [0.0, 2.0]",,,
biohydrogenation,N/A,N/A,N/A
crauste,N/A,N/A,N/A
daisy_mamil3,N/A,N/A,N/A
daisy_mamil4,N/A,N/A,N/A
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,N/A,N/A,N/A
hiv,N/A,N/A,N/A
lotka_volterra,N/A,N/A,N/A
seir,N/A,N/A,N/A
vanderpol,N/A,N/A,N/A
,,,
"Searching in [0.0, 3.0]",,,
biohydrogenation,N/A,N/A,N/A
crauste,N/A,N/A,N/A
daisy_mamil3,N/A,N/A,N/A
daisy_mamil4,N/A,N/A,N/A
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,N/A,N/A,N/A
hiv,N/A,N/A,N/A
lotka_volterra,N/A,N/A,N/A
seir,N/A,N/A,N/A
vanderpol,N/A,N/A,N/A
,,,
