,RMSRE mean,RMSRE median,RMSRE min
"Searching in [0.0, 1.0]"
biohydrogenation,inf,inf,0.6704862251842051
crauste,1.0092089906611863,0.8760020354240676,0.2556380045545854
daisy-mamil3,0.7511609536677151,0.4908068510603281,0.09532141774634124
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,N/A,N/A,N/A
harmonic,9.69772450141545e-05,6.219277766906259e-05,2.481272682038753e-05
hiv,1.047246776110616,0.9051324227949105,0.24842739467195657
lotka-volterra,0.7249310659110242,0.6052285440392293,0.0649198108855288
seir,0.3553477900521229,0.27469159430339113,0.07540697393084832
vanderpol,0.00025432614387381285,0.0001465346703012037,4.8276856236913196e-05
,,,
"Searching in [0.0, 2.0]"
biohydrogenation,inf,inf,0.7441652791224003
crauste,inf,1.6539848157493042,0.4669775608150305
daisy-mamil3,0.7600210824572272,0.5377738969006428,0.12146224017536147
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,N/A,N/A,N/A
harmonic,9.697845303140958e-05,6.219377735612372e-05,2.4813025430414872e-05
hiv,1.113132193588863,1.1332297000349172,0.2516482351278224
lotka-volterra,1.064096267662741,0.9409725417984827,0.08375906926529521
seir,0.623896803292275,0.5129156072445025,0.19168329112745155
vanderpol,0.00025431598739043273,0.00014652504368575762,4.835202612685879e-05
,,,
"Searching in [0.0, 3.0]"
biohydrogenation,inf,inf,inf
crauste,inf,1.8545435219722912,0.46896553838874827
daisy-mamil3,0.7506124682678448,0.49527920413028326,0.09655053920043376
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,N/A,N/A,N/A
harmonic,9.697421667906073e-05,6.21939134194386e-05,2.481294970011331e-05
hiv,1.2123543646777,1.3246547330175833,0.24463056122185772
lotka-volterra,1.2251864852046104,0.9930592847975015,0.2679814938618466
seir,1.1628022762055095,1.061449094832354,0.5650889520139958
vanderpol,0.00025434969696815665,0.00014653455827205055,4.8321260646647705e-05
,,,
