,RMSRE mean,RMSRE median,RMSRE min
"Searching in [0.0, 1.0]",,,
biohydrogenation,inf,inf,1.036101242791643
crauste,inf,inf,inf
daisy-mamil3,inf,inf,0.005254401421042749
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,inf,0.009816617720086842,0.0
harmonic,0.0,0.0,0.0
hiv,inf,inf,0.018466134390802868
lotka-volterra,inf,inf,0.0053130296490194314
seir,inf,inf,inf
vanderpol,0.0,0.0,0.0
,,,
"Searching in [0.0, 2.0]",,,
biohydrogenation,inf,inf,1.036101242791643
crauste,inf,inf,inf
daisy-mamil3,inf,inf,0.005254401421042749
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,inf,0.009816617720086842,0.0
harmonic,0.0,0.0,0.0
hiv,inf,inf,0.018466134390802868
lotka-volterra,inf,inf,0.0053130296490194314
seir,inf,inf,inf
vanderpol,0.0,0.0,0.0
,,,
"Searching in [0.0, 3.0]",,,
biohydrogenation,inf,inf,1.036101242791643
crauste,inf,inf,inf
daisy-mamil3,inf,inf,0.005254401421042749
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,inf,0.009816617720086842,0.0
harmonic,0.0,0.0,0.0
hiv,inf,inf,0.018466134390802868
lotka-volterra,inf,inf,0.0053130296490194314
seir,inf,inf,2.6990689411382074
vanderpol,0.0,0.0,0.0
,,,
