,RMSRE mean,RMSRE median,RMSRE min
"Searching in [0.0, 1.0]",,,
biohydrogenation,0.29130823561370844,0.27001183078578195,0.0588155882158406
crauste,0.1525607675229462,0.018166982421678447,0.00934177848139574
daisy_mamil3,0.0020240566819385475,0.0005183345508409827,4.232203056030399e-05
daisy_mamil4,0.6826553436962552,0.4233787518387736,0.08366612659005494
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,0.0,0.0,0.0
hiv,0.16715054093199805,0.00048635067856955973,0.00011355103536194618
lotka_volterra,0.20691721474490965,0.03241972483818401,0.0014154793089881886
seir,0.2450874345100125,0.17391916851619918,0.004049466533451939
vanderpol,0.0,0.0,0.0
,,,
"Searching in [0.0, 2.0]",,,
biohydrogenation,0.5246485547750315,0.4897336743850188,0.05879418917479741
crauste,0.7417817538496717,0.3290599528433774,0.009345043311363167
daisy_mamil3,0.0020233207601436016,0.0005183345508409827,4.232203056030399e-05
daisy_mamil4,0.796239209090594,0.5335453487196156,0.26674696595118685
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,0.0,0.0,0.0
hiv,0.22789603316388213,0.0013506878506295765,0.00011355103536194618
lotka_volterra,0.7721495532886993,0.18430619775667925,0.0014154793089881886
seir,0.37154927042338315,0.3798811295024904,0.015160476604425448
vanderpol,0.0,0.0,0.0
,,,
"Searching in [0.0, 3.0]",,,
biohydrogenation,0.5827003207588571,0.47705843564977846,0.05865963801927679
crauste,0.5793734338757602,0.37475113342553346,0.009334385793094495
daisy_mamil3,0.00202373630754866,0.0005167326788915448,4.232203056030399e-05
daisy_mamil4,0.6604347162418177,0.5927882269229574,0.15648986979062007
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,0.0,0.0,0.0
hiv,0.5381753148237205,0.0031564489296723804,0.00011355103536194618
lotka_volterra,0.6287547113750788,0.03739036663018996,0.0014154793089881886
seir,0.46020297694558604,0.26598725662738754,0.0031986590245215328
vanderpol,0.0,0.0,0.0
,,,
