,RMSRE mean,RMSRE median,RMSRE min
"Searching in [0.0, 1.0]",,,
biohydrogenation,inf,inf,inf
crauste,inf,inf,inf
daisy-mamil3,inf,inf,inf
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,inf,inf,inf
harmonic,inf,0.2638555754415177,0.08649208719326677
hiv,inf,inf,inf
lotka-volterra,inf,inf,inf
seir,inf,inf,inf
vanderpol,inf,inf,0.059221655114010466
,,,
"Searching in [0.0, 2.0]",,,
biohydrogenation,inf,inf,inf
crauste,inf,inf,inf
daisy-mamil3,inf,inf,inf
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,inf,inf,inf
harmonic,inf,0.24703017648691847,0.08649208719326677
hiv,inf,inf,inf
lotka-volterra,inf,inf,inf
seir,inf,inf,inf
vanderpol,inf,inf,0.059221655114010466
,,,
"Searching in [0.0, 3.0]",,,
biohydrogenation,inf,inf,inf
crauste,inf,inf,inf
daisy-mamil3,inf,inf,inf
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,inf,inf,inf
harmonic,inf,0.24703017648691847,0.08649208719326677
hiv,inf,inf,inf
lotka-volterra,inf,inf,inf
seir,inf,inf,inf
vanderpol,inf,inf,0.059221655114010466
,,,
