,k5,k6,k7,k8,k9,k10,x4,x5,x6,x7,,RMSRE
"Searching in [0.0, 1.0]"
biohydrogenation_0,,,,,,,,,,,,
True Value,0.539,0.672,0.582,0.536,0.439,0.617,0.45,0.813,0.871,0.407
Test Result,0.4304157398908065,0.5447138766002099,0.5373748440183939,0.6720024698791898,0.539001296405687,0.5044673388252726,0.45000000660932526,0.8130014950692845,0.7600379237432034,0.4945847380219868
Rel Error,0.20146,0.18941,0.07668,0.25374,0.22779,0.18239,0.0,0.0,0.1274,0.2152,,0.1660345933502931
,,,,,,,,,,
biohydrogenation_1,,,,,,,,,,,,
True Value
Test Result
,,,,,,,,,,,inf
,,,,,,,,,,
"Searching in [0.0, 2.0]"
"Searching in [0.0, 3.0]"
