,k5,k6,k7,k8,k9,k10,x4,x5,x6,x7,,RMSRE
"Searching in [0.0, 1.0]"
biohydrogenation_0,,,,,,,,,,,,
True Value,0.539,0.672,0.582,0.536,0.439,0.617,0.45,0.813,0.871,0.407
Test Result,0.539,0.672,0.582,0.536,0.439,0.617,0.45,0.813,0.871,0.4679
Rel Error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14963,,0.0
,,,,,,,,,,
biohydrogenation_1,,,,,,,,,,,,
True Value,0.733,0.523,0.554,0.84,0.157,0.17,0.116,0.766,0.723,0.796
Test Result,0.733,0.523,0.56421,0.89336,0.11661,0.12833,0.116,0.766,0.71258,1.0
Rel Error,0.0,0.0,0.01843,0.06352,0.25726,0.24512,0.0,0.0,0.01441,0.25628,,0.12057666704591101
,,,,,,,,,,
"Searching in [0.0, 2.0]"
"Searching in [0.0, 3.0]"
