,a12,a13,a21,a31,a01,x1,x2,x3,,RMSRE
"Searching in [0.0, 1.0]"
daisy_mamil3_0,,,,,,,,,,
True Value,0.539,0.672,0.582,0.536,0.439,0.617,0.45,0.813
Test Result,0.539,0.672,0.582,0.536,0.439,0.617,0.45,0.813
Rel Error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,,,,,,,,
daisy_mamil3_1,,,,,,,,,,
True Value,0.871,0.407,0.733,0.523,0.554,0.84,0.157,0.17
Test Result,0.871,0.407,0.733,0.523,0.554,0.84,0.157,0.17
Rel Error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,,,,,,,,
"Searching in [0.0, 2.0]"
"Searching in [0.0, 3.0]"
